Type,Categorie/Mission,Poste/Programme,Budget_Actuel_G€,Description
Depense,Recherche et enseignement supérieur,P150 - Formations supérieures et recherche universitaire,16.2,"Fonctionnement des universités, salaires des enseignants-chercheurs, aides étudiantes (bourses CROUS)."
Depense,Recherche et enseignement supérieur,P172 - Recherches scientifiques et technologiques pluridisciplinaires,8.8,"Organismes de recherche (CNRS, INSERM, INRAE, CEA civil), Agence nationale de la recherche (ANR)."
Depense,Cohésion des territoires,"P135 - Urbanisme, territoires et amélioration de l'habitat",3.8,"Aides personnelles au logement (APL), financement de la rénovation énergétique (MaPrimeRénov')."
Depense,Cohésion des territoires,P119 - Concours financiers aux collectivités territoriales,27.5,"Dotations globales de fonctionnement (DGF) versées par l'État aux communes, départements et régions."
Depense,Culture & Médias,P175 - Patrimoines,1.2,"Entretien des monuments historiques, musées nationaux (Louvre, Orsay), archives de France."
Depense,Culture & Médias,P131 - Création,1.0,"Soutien au spectacle vivant (opéras, théâtres nationaux), arts plastiques, écoles d'art."
Depense,Culture & Médias,P180 - Presse et médias,0.9,"Aides directes à la presse, financement de l'audiovisuel public (France TV, Radio France) via la dotation de l'État."
Depense,Action extérieure de l'État & Aide au développement,P105 - Action de la France en Europe et dans le monde,3.2,"Réseau diplomatique (ambassades, consulats), instituts français, contributions aux organisations internationales (ONU)."
Depense,Action extérieure de l'État & Aide au développement,P209 - Solidarité à l'égard des pays en développement,4.5,"Aide publique au développement (via l'AFD), fonds bilatéraux, aide humanitaire d'urgence."
Depense,"Agriculture, alimentation, forêt et affaires rurales",P149 - Compétitivité et durabilité de l'agriculture,1.9,"Cofinancement national des aides PAC, assurance récolte (aléas climatiques), aides à l'installation des jeunes agriculteurs."
Depense,"Agriculture, alimentation, forêt et affaires rurales",P206 - Sécurité et qualité sanitaire de l'alimentation,0.9,"Services vétérinaires, contrôles sanitaires dans l'industrie agroalimentaire, lutte contre les épizooties (grippe aviaire)."
Depense,Engagements Financiers de l'État,Charge de la Dette (Intérêts),61.0,Paiement des intérêts annuels sur la dette publique de l'État (OAT). Dépend des taux d'intérêt et du volume de la dette.
Depense,Engagements Financiers de l'État,Pensions et Retraites de l'État,66.0,Paiement des pensions de retraite des fonctionnaires civils et militaires de l'État (Caisse des pensions de l'État).
Recette,Impôts Directs,Impôt sur le revenu (IR),94.5,"Impôt direct progressif prélevé sur les revenus des personnes physiques (salaires, pensions, revenus fonciers)."
Recette,Impôts Directs,Impôt sur les sociétés (IS),61.2,Impôt direct prélevé sur les bénéfices réalisés par les entreprises fonctionnant en société.
Recette,Impôts Indirects,Taxe sur la valeur ajoutée (TVA - Part État),102.8,Impôt indirect sur la consommation. Montant correspondant uniquement à la part non reversée à la sécurité sociale ou aux collectivités.
Recette,Impôts Indirects,Taxe intérieure de consommation sur les produits énergétiques (TICPE - Part État),17.5,"Taxe perçue sur les carburants (essence, gazole) et les combustibles de chauffage."
Recette,Autres Fiscalités,"Enregistrement, timbres, ISF/IFI et autres taxes directes",28.3,"Impôt sur la fortune immobilière (IFI), droits de mutation (frais de notaires), taxes foncières résiduelles."
Recette,Recettes Non Fiscales,"Dividendes, produits du domaine de l'État et amendes",24.2,"Revenus de l'État actionnaire (EDF, Renault...), redevances, revenus du domaine public, produit des amendes routières."
